link_id,from_node_id,to_node_id,direction,length,number_of_lanes,speed_limit,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,BPR_alpha_term,BPR_beta_term,free_flow_time,toll,volume,cost
41,41,587,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
42,42,588,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
43,43,589,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
44,44,590,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
45,45,591,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
46,46,592,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
47,47,593,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
48,48,594,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
49,49,595,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
50,50,596,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
51,51,597,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
52,52,598,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
53,53,599,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
54,54,600,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
55,55,601,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
56,56,602,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
57,57,603,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
58,58,604,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
59,59,605,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
60,60,606,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
61,61,607,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
62,62,608,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
63,63,609,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
64,64,610,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
65,65,611,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
66,66,612,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
67,67,613,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
68,68,614,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
69,69,615,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
70,70,616,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
71,71,617,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
72,72,618,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
73,73,619,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
74,74,620,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
75,75,621,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
76,76,622,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
77,77,623,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
78,78,624,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
79,79,625,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
80,80,626,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
81,81,627,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
82,82,628,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
83,83,629,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
84,84,630,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
85,85,631,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
86,86,632,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
87,87,633,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
88,88,634,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
89,89,635,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
90,90,636,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
91,91,637,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
92,92,638,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
93,93,639,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
94,94,640,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
95,95,641,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
96,96,642,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
97,97,643,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
98,98,644,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
99,99,645,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
100,100,646,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
101,101,647,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
102,102,648,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
103,103,649,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
104,104,650,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
105,105,651,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
106,106,652,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
107,107,653,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
108,108,654,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
109,109,655,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
110,110,656,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
111,111,657,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
112,112,658,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
113,113,659,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
114,114,660,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
115,115,661,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
116,116,662,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
117,117,663,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
118,118,664,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
119,119,665,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
120,120,666,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
121,121,667,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
122,122,668,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
123,123,669,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
124,124,670,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
125,125,671,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
126,126,672,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
127,127,673,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
128,128,674,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
129,129,675,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
130,130,676,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
131,131,677,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
132,132,678,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
133,133,679,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
134,134,680,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
135,135,681,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
136,136,682,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
137,137,683,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
138,138,684,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
139,139,685,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
140,140,686,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
141,141,687,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
142,142,688,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
143,143,689,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
144,144,690,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
145,145,691,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
146,146,692,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
147,147,693,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
148,148,694,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
149,149,695,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
150,150,696,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
151,151,697,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
152,152,698,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
153,153,699,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
154,154,700,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
155,155,701,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
156,156,702,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
157,157,703,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
158,158,704,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
159,159,705,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
160,160,706,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
161,161,707,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
162,162,708,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
163,163,709,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
164,164,710,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
165,165,711,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
166,166,712,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
167,167,713,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
168,168,714,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
169,169,715,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
170,170,716,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
171,171,717,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
172,172,718,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
173,173,719,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
174,174,720,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
175,175,721,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
176,176,722,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
177,177,723,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
178,178,724,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
179,179,725,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
180,180,726,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
181,181,727,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
182,182,728,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
183,183,729,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
184,184,730,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
185,185,731,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
186,186,732,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
187,187,733,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
188,188,734,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
189,189,735,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
190,190,736,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
191,191,737,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
192,192,738,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
193,193,739,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
194,194,740,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
195,195,741,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
196,196,742,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
197,197,743,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
198,198,744,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
199,199,745,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
200,200,746,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
201,201,747,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
202,202,748,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
203,203,749,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
204,204,750,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
205,205,751,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
206,206,752,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
207,207,753,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
208,208,754,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
209,209,755,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
210,210,756,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
211,211,757,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
212,212,758,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
213,213,759,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
214,214,760,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
215,215,761,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
216,216,762,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
217,217,763,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
218,218,764,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
219,219,765,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
220,220,766,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
221,221,767,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
222,222,768,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
223,223,769,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
224,224,770,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
225,225,771,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
226,226,772,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
227,227,773,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
228,228,774,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
229,229,775,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
230,230,776,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
231,231,777,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
232,232,778,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
233,233,779,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
234,234,780,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
235,235,781,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
236,236,782,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
237,237,783,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
238,238,784,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
239,239,785,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
240,240,786,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
241,241,787,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
242,242,788,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
243,243,789,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
244,244,790,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
245,245,791,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
246,246,792,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
247,247,793,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
248,248,794,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
249,249,795,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
250,250,796,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
251,251,797,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
252,252,798,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
253,253,799,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
254,254,800,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
255,255,801,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
256,256,802,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
257,257,803,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
258,258,804,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
259,259,805,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
260,260,806,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
261,261,807,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
262,262,808,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
263,263,809,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
264,264,810,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
265,265,811,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
266,266,812,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
267,267,813,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
268,268,814,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
269,269,815,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
270,270,816,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
271,271,817,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
272,272,818,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
273,273,819,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
274,274,820,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
275,275,821,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
276,276,822,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
277,277,823,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
278,278,824,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
279,279,825,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
280,280,826,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
281,281,827,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
282,282,828,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
283,283,829,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
284,284,830,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
285,285,831,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
286,286,832,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
287,287,833,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
288,288,834,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
289,289,835,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
290,290,836,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
291,291,837,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
292,292,838,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
293,293,839,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
294,294,840,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
295,295,841,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
296,296,842,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
297,297,843,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
298,298,844,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
299,299,845,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
300,300,846,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
301,301,847,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
302,302,848,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
303,303,849,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
304,304,850,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
305,305,851,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
306,306,852,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
307,307,853,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
308,308,854,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
309,309,855,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
310,310,856,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
311,311,857,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
312,312,858,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
313,313,859,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
314,314,860,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
315,315,861,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
316,316,862,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
317,317,863,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
318,318,864,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
319,319,865,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
320,320,866,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
321,321,867,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
322,322,868,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
323,323,869,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
324,324,870,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
325,325,871,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
326,326,872,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
327,327,873,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
328,328,874,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
329,329,875,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
330,330,876,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
331,331,877,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
332,332,878,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
333,333,879,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
334,334,880,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
335,335,881,1,0.8633,1,25,4950,1,180,12,0.15,4,2,0,4000,2
